Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,515.7,6188.40,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),Amazon EC2,0,1679.84,20158.08,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (Provisioned IOPS SSD (io1)), Storage amount (100 GB), Instance type (r5a.xlarge), Provisioning IOPS (500)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1200.85,14410.20,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1204.5,14454.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (100 GB per hour)"
My Estimate,US East (N. Virginia),Amazon Aurora MySQL-Compatible,0,8297.64,99571.68,USD,"Change records per statement (4), (8 instances)  db.r5.2xlarge  Memory optimized  OnDemand, Number of I/Os per month in millions (50), Storage amount (5000 GB), Additional backup storage (5000 GB)"
My Estimate,US East (N. Virginia),Amazon ElastiCache,0,1258.52,15102.24,USD,(4 instances)  Redis  Memory optimized  cache r5.xlarge  OnDemand
My Estimate,US East (N. Virginia),Amazon Elastic IP,0,505.8,6069.60,USD,"Number of EC2 instances (8), Number of EIPs per instance (10), Number of EIP remaps (30)"
My Estimate,US East (N. Virginia),S3 Standard,0,491.25,5895.00,USD,S3 Standard storage (20000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (Ohio),Amazon Aurora MySQL-Compatible,0,1955.8,23469.60,USD,"Change records per statement (1), (2 instances)  db.r5.xlarge  Memory optimized  OnDemand, Storage amount (10000 GB), Number of I/Os per month in millions (20), Additional backup storage (5000 GB)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,2003.85,24046.20,USD,"Number of Network Load Balancers (2), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (100000 per second), Processed bytes per NLB for TLS (100 GB per hour), Average TLS connection duration (5 seconds), Average number of new TLS connections (5000 per second)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
